bank,theme,keyword
Commercial Bank of Ethiopia,Account Access Issues,login problem
Commercial Bank of Ethiopia,Account Access Issues,otp failed
Commercial Bank of Ethiopia,Transaction Performance,transfer failed
Commercial Bank of Ethiopia,Transaction Performance,transaction delay
Awash Bank,App Stability,app crash
Awash Bank,App Stability,freeze
Awash Bank,User Experience (UX),easy to use
Bank of Abyssinia,Customer Support,poor service
Bank of Abyssinia,Customer Support,no response
Bank of Abyssinia,Feature Request,add fingerprint login
